longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-120.87,37.77,9.0,4838.0,920.0,2460.0,923.0,3.5959,142700.0
-118.14,34.11,52.0,2742.0,422.0,1153.0,414.0,8.1124,500001.0
-120.05,36.98,16.0,3705.0,739.0,2463.0,697.0,2.5288,61800.0
-117.42,34.02,9.0,5455.0,882.0,3015.0,858.0,4.2321,162800.0
-118.26,33.97,52.0,1331.0,346.0,1144.0,362.0,1.5326,90600.0
-117.97,33.68,26.0,1616.0,292.0,700.0,241.0,5.5105,232100.0
-118.42,34.27,35.0,674.0,153.0,808.0,173.0,2.6667,147800.0
-117.96,34.02,33.0,349.0,124.0,460.0,83.0,2.375,133300.0
-122.49,37.73,48.0,1190.0,182.0,497.0,199.0,6.2642,438500.0
-118.77,34.28,26.0,2873.0,480.0,1915.0,475.0,5.3681,187700.0
-116.25,33.81,24.0,880.0,187.0,507.0,169.0,3.4583,67500.0
-121.19,38.66,26.0,1937.0,286.0,769.0,274.0,6.1185,179200.0
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0
-121.56,39.11,18.0,2171.0,480.0,1527.0,447.0,2.3011,57500.0
-119.45,35.16,34.0,3437.0,696.0,1783.0,608.0,2.3912,52900.0
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,118800.0
-119.7,34.41,19.0,2086.0,575.0,1701.0,530.0,2.8042,236100.0
-115.53,34.91,12.0,807.0,199.0,246.0,102.0,2.5391,40000.0
-120.15,39.8,19.0,785.0,151.0,366.0,140.0,3.0625,82500.0
-121.82,39.72,42.0,2978.0,694.0,1879.0,679.0,1.5064,66300.0
-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,350000.0
-118.26,33.9,22.0,894.0,232.0,754.0,222.0,2.0096,110700.0
-121.29,38.71,32.0,1875.0,361.0,1027.0,343.0,3.5769,103800.0
-122.45,37.78,52.0,3975.0,716.0,1515.0,691.0,5.0156,500001.0
-121.89,37.28,32.0,4308.0,717.0,2002.0,695.0,4.1645,281900.0
-118.02,33.95,36.0,1632.0,295.0,797.0,283.0,4.2292,179500.0
-122.09,37.64,36.0,1180.0,212.0,664.0,200.0,5.2838,172600.0
-119.18,34.16,27.0,1832.0,415.0,1480.0,414.0,3.9643,186000.0
-117.13,32.75,24.0,1877.0,519.0,898.0,483.0,2.2264,112500.0
-123.19,39.12,38.0,267.0,57.0,196.0,60.0,2.3125,70000.0
-116.88,33.74,20.0,3111.0,623.0,1000.0,508.0,1.5982,140000.0
-117.31,33.16,17.0,1704.0,263.0,781.0,281.0,5.6605,224400.0
-120.08,36.34,18.0,1524.0,414.0,2030.0,356.0,2.1153,112500.0
-118.19,33.78,31.0,1648.0,484.0,898.0,457.0,1.5844,162500.0
-118.45,33.99,52.0,1010.0,244.0,573.0,242.0,4.1861,363200.0
-118.4,33.93,35.0,2217.0,447.0,1000.0,450.0,4.7319,376100.0
-117.38,34.13,23.0,1326.0,300.0,722.0,263.0,2.1856,107800.0
-117.99,34.15,44.0,2492.0,611.0,1951.0,596.0,3.1304,185600.0
-118.17,34.02,34.0,760.0,219.0,968.0,202.0,1.7813,145000.0
-121.1,35.6,20.0,3389.0,704.0,1309.0,520.0,3.2112,204500.0
-118.37,33.84,32.0,1751.0,328.0,819.0,323.0,6.7105,339000.0
-122.47,37.72,46.0,1453.0,306.0,817.0,310.0,3.0,246700.0
-118.28,34.1,49.0,1767.0,467.0,1066.0,438.0,3.0958,210900.0
-118.44,34.24,35.0,2344.0,435.0,1531.0,399.0,3.725,178200.0
-119.78,34.44,28.0,2864.0,495.0,1364.0,482.0,4.835,353400.0
-118.34,33.98,45.0,1298.0,294.0,1064.0,268.0,3.7067,136600.0
-117.92,33.65,15.0,1309.0,477.0,1330.0,424.0,3.4417,182500.0
-118.44,34.2,36.0,2698.0,623.0,1544.0,554.0,2.7375,234900.0
